Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
WebQuestions,CogComp+WebQuestions,"0,8688","0,8757","0,8936","0,8688","5,8078","284,2947",1,"0,0171","0,0114","0,0047","0,0171",2
WebQuestions,CogComp+WebQuestions+SimpleQuestions,"0,7109","0,7487","0,8825","0,7109","5,7615","2011,1735",1,"0,0106","0,0066","0,0083","0,0106",3
WebQuestions,LC-QuAD,"0,6284","0,5643","0,5520","0,6284","5,7663","84,1788",0,"0,0286","0,0221","0,0309","0,0286",1
WebQuestions,LC-QuAD+CogComp,"0,5409","0,5986","0,7672","0,5409","5,7835","239,1666",0,"0,0158","0,0151","0,0180","0,0158",2
WebQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,6955","0,7102","0,7669","0,6955","5,7860","1967,7564",0,"0,0331","0,0242","0,0152","0,0331",3
WebQuestions,LC-QuAD+CogComp+WebQuestions,"0,9034","0,9028","0,9073","0,9034","5,7757","363,6968",1,"0,0084","0,0085","0,0082","0,0084",3
WebQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8615","0,8653","0,8882","0,8615","5,7803","2091,3029",1,"0,0257","0,0199","0,0098","0,0257",4
WebQuestions,LC-QuAD+QALD,"0,7384","0,7248","0,7591","0,7384","5,7620","100,5273",0,"0,0131","0,0155","0,0448","0,0131",2
WebQuestions,LC-QuAD+QALD+CogComp,"0,5778","0,6338","0,7786","0,5778","5,8286","255,3531",0,"0,0405","0,0358","0,0164","0,0405",3
WebQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,7051","0,7187","0,7734","0,7051","5,7794","1984,9350",0,"0,0272","0,0240","0,0125","0,0272",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,8975","0,8981","0,9038","0,8975","5,8164","379,6834",1,"0,0082","0,0082","0,0100","0,0082",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8784","0,8770","0,8934","0,8784","5,8589","2108,5484",1,"0,0114","0,0143","0,0117","0,0114",5
WebQuestions,LC-QuAD+QALD+SimpleQuestions,"0,7543","0,7317","0,7748","0,7543","5,7663","1829,4490",0,"0,0112","0,0086","0,0180","0,0112",3
WebQuestions,LC-QuAD+QALD+WebQuestions,"0,9192","0,9193","0,9234","0,9192","5,7879","225,0923",1,"0,0037","0,0038","0,0031","0,0037",3
WebQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8987","0,8999","0,9129","0,8987","5,7935","1951,9333",1,"0,0016","0,0027","0,0051","0,0016",4
WebQuestions,LC-QuAD+SimpleQuestions,"0,6997","0,6511","0,6564","0,6997","5,7942","1810,5677",0,"0,0210","0,0210","0,0270","0,0210",2
WebQuestions,LC-QuAD+WebQuestions,"0,9220","0,9221","0,9260","0,9220","5,7317","208,6178",1,"0,0019","0,0010","0,0024","0,0019",2
WebQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,8988","0,9025","0,9166","0,8988","5,8215","1935,8015",1,"0,0085","0,0074","0,0038","0,0085",3
WebQuestions,QALD,"0,3654","0,2274","0,2598","0,3654","5,7478","20,7194",0,"0,1310","0,1628","0,1987","0,1310",1
WebQuestions,QALD+CogComp,"0,5255","0,5820","0,7915","0,5255","5,7345","177,5519",0,"0,0214","0,0131","0,0089","0,0214",2
WebQuestions,QALD+CogComp+SimpleQuestions,"0,5667","0,6268","0,7933","0,5667","5,7576","1903,1669",0,"0,0142","0,0091","0,0088","0,0142",3
WebQuestions,QALD+CogComp+WebQuestions,"0,8782","0,8820","0,8951","0,8782","5,8043","302,0442",1,"0,0132","0,0099","0,0064","0,0132",3
WebQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,7521","0,7901","0,8926","0,7521","5,7975","2028,3086",1,"0,0419","0,0379","0,0115","0,0419",4
WebQuestions,QALD+SimpleQuestions,"0,7356","0,7144","0,7765","0,7356","5,7782","1747,7352",0,"0,0151","0,0144","0,0189","0,0151",2
WebQuestions,QALD+WebQuestions,"0,9183","0,9182","0,9233","0,9183","5,7726","146,1638",1,"0,0050","0,0043","0,0022","0,0050",2
WebQuestions,QALD+WebQuestions+SimpleQuestions,"0,9088","0,9098","0,9137","0,9088","5,8167","1876,6096",1,"0,0117","0,0115","0,0105","0,0117",3
WebQuestions,SimpleQuestions,"0,5725","0,5238","0,6052","0,5725","5,7966","1730,9292",0,"0,0512","0,0450","0,0116","0,0512",1
WebQuestions,WebQuestions,"0,9197","0,9194","0,9235","0,9197","5,8055","129,8773",1,"0,0060","0,0050","0,0034","0,0060",1
WebQuestions,WebQuestions+SimpleQuestions,"0,9083","0,9096","0,9158","0,9083","5,7991","1857,9066",1,"0,0062","0,0059","0,0061","0,0062",2
,,"0,7622","0,7546","0,7919","0,7622","9,6339","1090,4525",,"0,0230","0,0230","0,0218","0,0230",
